Model,count,mean,std,min,25%,50%,75%,max
CNN,10.0,0.849,0.007378647873726225,0.84,0.8425,0.85,0.85,0.86
LSTM,34.0,0.8397792945889866,0.060253909491624055,0.6358256340026855,0.8119513243436813,0.8538345694541931,0.8880038857460022,0.9009477496147156
Transformer,70.0,0.865437148298536,0.06658854034187849,0.5878062844276428,0.8412619680166245,0.8822444081306458,0.9143665283918381,0.931737780570984
